Image Sticker,Slice Index,Model,IoU,Dice
lung_046,159,EfficientSAM (VIT-tiny),0.2670940170940171,0.4215851602023608
lung_046,159,EfficientSAM (VIT-small),0.3336909871244635,0.500402252614642
lung_046,160,EfficientSAM (VIT-tiny),0.2655440414507772,0.4196519959058342
lung_046,160,EfficientSAM (VIT-small),0.4067796610169492,0.5783132530120482
lung_046,161,EfficientSAM (VIT-tiny),0.3541364296081277,0.5230439442658092
lung_046,161,EfficientSAM (VIT-small),0.3564213564213564,0.5255319148936171
lung_046,162,EfficientSAM (VIT-tiny),0.3911504424778761,0.5623409669211196
lung_046,162,EfficientSAM (VIT-small),0.3747810858143607,0.5452229299363057
lung_046,163,EfficientSAM (VIT-tiny),0.4688995215311005,0.6384364820846905
lung_046,163,EfficientSAM (VIT-small),0.3875598086124402,0.5586206896551724
lung_046,164,EfficientSAM (VIT-tiny),0.3707865168539326,0.5409836065573771
lung_046,164,EfficientSAM (VIT-small),0.37,0.5401459854014599
lung_046,165,EfficientSAM (VIT-tiny),0.4,0.5714285714285714
lung_046,165,EfficientSAM (VIT-small),0.3333333333333333,0.5
lung_073,310,EfficientSAM (VIT-tiny),0.5121951219512195,0.6774193548387096
lung_073,310,EfficientSAM (VIT-small),0.56,0.717948717948718
lung_073,311,EfficientSAM (VIT-tiny),0.4481327800829875,0.6189111747851003
lung_073,311,EfficientSAM (VIT-small),0.4243542435424354,0.5958549222797928
lung_073,312,EfficientSAM (VIT-tiny),0.3724279835390947,0.5427286356821589
lung_073,312,EfficientSAM (VIT-small),0.3487394957983193,0.5171339563862928
lung_073,313,EfficientSAM (VIT-tiny),0.505307855626327,0.6713681241184767
lung_073,313,EfficientSAM (VIT-small),0.3677685950413223,0.5377643504531722
lung_073,314,EfficientSAM (VIT-tiny),0.3119266055045872,0.4755244755244755
lung_073,314,EfficientSAM (VIT-small),0.3416030534351145,0.5092460881934566
lung_073,315,EfficientSAM (VIT-tiny),0.4034749034749035,0.5749656121045392
lung_073,315,EfficientSAM (VIT-small),0.3634538152610442,0.5331369661266568
lung_073,316,EfficientSAM (VIT-tiny),0.3601190476190476,0.5295404814004376
lung_073,316,EfficientSAM (VIT-small),0.3229329173166926,0.4882075471698113
lung_073,317,EfficientSAM (VIT-tiny),0.3288009888751545,0.4948837209302326
lung_073,317,EfficientSAM (VIT-small),0.3543191800878477,0.5232432432432432
lung_073,318,EfficientSAM (VIT-tiny),0.25,0.4
lung_073,318,EfficientSAM (VIT-small),0.4150664697193501,0.5866388308977035
lung_073,319,EfficientSAM (VIT-tiny),0.2754409769335142,0.4319148936170213
lung_073,319,EfficientSAM (VIT-small),0.4158125915080527,0.5873836608066184
lung_073,320,EfficientSAM (VIT-tiny),0.3359375,0.5029239766081871
lung_073,320,EfficientSAM (VIT-small),0.5550239234449761,0.7138461538461538
lung_073,321,EfficientSAM (VIT-tiny),0.325434439178515,0.4910607866507747
lung_073,321,EfficientSAM (VIT-small),0.5228426395939086,0.6866666666666666
lung_073,322,EfficientSAM (VIT-tiny),0.2544704264099037,0.4057017543859649
lung_073,322,EfficientSAM (VIT-small),0.5020979020979021,0.6685288640595903
lung_073,323,EfficientSAM (VIT-tiny),0.2496570644718793,0.3995609220636663
lung_073,323,EfficientSAM (VIT-small),0.4978962131837307,0.6647940074906367
lung_073,324,EfficientSAM (VIT-tiny),0.2761394101876676,0.4327731092436975
lung_073,324,EfficientSAM (VIT-small),0.5242718446601942,0.6878980891719745
lung_073,325,EfficientSAM (VIT-tiny),0.2715617715617716,0.4271310724106325
lung_073,325,EfficientSAM (VIT-small),0.3706377858002406,0.5408252853380158
lung_073,326,EfficientSAM (VIT-tiny),0.292896174863388,0.4530853761622992
lung_073,326,EfficientSAM (VIT-small),0.3773796192609182,0.5479674796747968
lung_073,327,EfficientSAM (VIT-tiny),0.2454751131221719,0.3941871026339691
lung_073,327,EfficientSAM (VIT-small),0.4189497716894977,0.5905068382944489
lung_073,328,EfficientSAM (VIT-tiny),0.2846511627906977,0.4431571325126719
lung_073,328,EfficientSAM (VIT-small),0.350597609561753,0.5191740412979351
lung_073,329,EfficientSAM (VIT-tiny),0.1850709438618137,0.312337324310255
lung_073,329,EfficientSAM (VIT-small),0.3075396825396825,0.4704097116843702
lung_073,330,EfficientSAM (VIT-tiny),0.315028901734104,0.4791208791208791
lung_073,330,EfficientSAM (VIT-small),0.4065934065934066,0.578125
lung_073,331,EfficientSAM (VIT-tiny),0.2486692015209125,0.3982947624847747
lung_073,331,EfficientSAM (VIT-small),0.3243683781581092,0.4898461538461538
lung_073,332,EfficientSAM (VIT-tiny),0.2423159399571122,0.3901035673187571
lung_073,332,EfficientSAM (VIT-small),0.3137254901960784,0.4776119402985074
lung_073,333,EfficientSAM (VIT-tiny),0.2559726962457337,0.4076086956521739
lung_073,333,EfficientSAM (VIT-small),0.3282758620689655,0.494288681204569
lung_073,334,EfficientSAM (VIT-tiny),0.1361771944216571,0.23971119133574
lung_073,334,EfficientSAM (VIT-small),0.2240204429301533,0.3660403618649965
lung_073,335,EfficientSAM (VIT-tiny),0.2292682926829268,0.373015873015873
lung_073,335,EfficientSAM (VIT-small),0.3676348547717842,0.537621359223301
lung_073,336,EfficientSAM (VIT-tiny),0.2502768549280177,0.4003542958370239
lung_073,336,EfficientSAM (VIT-small),0.3967136150234742,0.5680672268907563
lung_073,337,EfficientSAM (VIT-tiny),0.3359375,0.5029239766081871
lung_073,337,EfficientSAM (VIT-small),0.4431687715269805,0.6141607000795545
lung_073,338,EfficientSAM (VIT-tiny),0.4204545454545454,0.592
lung_073,338,EfficientSAM (VIT-small),0.4336158192090395,0.6049261083743842
lung_073,339,EfficientSAM (VIT-tiny),0.3658892128279883,0.535752401280683
